Rk,Date,,Opponent,,1-19,20-29,30-39,40-49,50+,LNG,FG%,FG,XP,PTS
1,2023-09-02,,Coastal Carolina,W (27-13),0-0,0-0,1-1,1-1,0-0,47,100,2-2,3-3,9
2,2023-09-09,@,San Diego State,W (35-10),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
3,2023-09-16,,North Carolina Central,W (59-7),0-0,1-1,0-0,0-0,0-0,24,100,1-1,8-8,11
4,2023-09-23,@,Utah,L (7-14),0-0,0-0,0-0,0-0,0-0,0,0,0-0,1-1,1
5,2023-10-07,,Washington State,W (25-17),0-0,0-0,2-3,0-1,0-0,37,50,2-4,1-2,7
6,2023-10-14,@,Oregon State,L (24-36),0-0,0-0,1-1,0-0,0-0,36,100,1-1,3-3,6
7,2023-10-21,@,Stanford,W (42-7),0-0,0-0,0-0,0-2,0-0,0,0,0-2,6-6,6
8,2023-10-28,,Colorado,W (28-16),0-0,0-1,0-0,0-0,0-0,0,0,0-1,4-4,4
9,2023-11-04,@,Arizona,L (10-27),0-0,1-1,0-0,0-2,0-0,1-3,33.3,29,1-1,4
10,2023-11-11,,Arizona State,L (7-17),0-0,0-0,0-0,0-0,0-0,0-0,0,0,1-1,1
11,2023-11-18,@,Southern California,W (38-20),0-0,0-0,1-2,0-0,0-0,1-2,50,35,5-5,8
12,2023-11-25,,California,L (7-33),0-0,0-1,0-0,0-0,0-0,0-1,0,0,1-1,1
13,2023-12-16,N,Boise State*,W (35-22),0-0,0-0,0-0,0-0,0-0,0-0,0,0,5-5,5
1,2022-09-03,,Bowling Green State,W (45-17),0-0,1-2,0-0,0-1,0-0,24,33.3,1-3,6-6,9
2,2022-09-10,,Alabama State,W (45-7),1-1,0-0,0-0,0-0,0-0,19,100,1-1,5-5,8
3,2022-09-17,,South Alabama,W (32-31),0-0,2-2,1-1,1-1,0-0,49,100,4-4,2-2,14
4,2022-09-24,@,Colorado,W (45-17),0-0,0-0,0-0,1-1,0-0,44,100,1-1,5-5,8
5,2022-09-30,,Washington,W (40-32),0-0,1-1,0-0,0-0,0-0,24,100,1-1,5-5,8
6,2022-10-08,,Utah,W (42-32),0-0,0-1,0-0,0-0,0-0,0,0,0-1,6-6,6
7,2022-10-22,@,Oregon,L (30-45),0-0,0-0,1-1,2-2,0-0,47,100,3-3,3-3,12
8,2022-10-29,,Stanford,W (38-13),0-0,0-0,1-1,0-1,0-0,31,50,1-2,5-5,8
9,2022-11-05,@,Arizona State,W (50-36),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-6,6
10,2022-11-12,,Arizona,L (28-34),0-0,0-0,0-0,0-1,0-0,0,0,0-1,4-4,4
11,2022-11-19,,Southern California,L (45-48),0-0,0-0,0-0,1-1,0-0,46,100,1-1,6-6,9
12,2022-11-25,@,California,W (35-28),0-0,2-2,0-1,0-0,0-0,26,66.7,2-3,3-3,9
13,2022-12-30,N,Pittsburgh*,L (35-37),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
1,2021-08-28,,Hawaii,W (44-10),0-0,1-1,0-0,0-0,0-0,27,100,1-1,5-6,8
2,2021-09-04,,Louisiana State,W (38-27),0-0,0-0,0-0,1-1,0-0,43,100,1-1,5-5,8
3,2021-09-18,,Fresno State,L (37-40),0-0,0-0,1-1,0-0,0-0,39,100,1-1,4-4,7
4,2021-09-25,@,Stanford,W (35-24),0-0,0-0,0-0,0-0,0-1,0,0,0-1,5-5,5
5,2021-10-02,,Arizona State,L (23-42),0-0,2-2,0-0,1-2,0-0,48,75,3-4,2-2,11
6,2021-10-09,@,Arizona,W (34-16),0-0,1-1,0-0,1-1,0-0,43,100,2-2,4-4,10
7,2021-10-16,@,Washington,W (24-17),0-0,0-0,1-1,0-0,0-1,39,50,1-2,3-3,6
8,2021-10-23,,Oregon,L (31-34),0-0,0-0,1-2,0-0,0-0,37,50,1-2,4-4,7
9,2021-10-30,@,Utah,L (24-44),0-0,1-1,0-0,0-0,0-1,28,50,1-2,3-3,6
10,2021-11-13,,Colorado,W (44-20),0-0,0-0,0-0,1-2,0-0,41,50,1-2,5-6,8
11,2021-11-20,@,Southern California,W (62-33),0-0,0-0,0-0,0-1,0-0,0,0,0-1,8-8,8
12,2021-11-27,,California,W (42-14),0-0,0-0,0-0,2-2,0-0,46,100,2-2,4-4,10
1,2020-11-07,@,Colorado,L (42-48),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-6,6
2,2020-11-15,,California,W (34-10),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-5,4
3,2020-11-21,@,Oregon,L (35-38),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
4,2020-11-28,,Arizona,W (27-10),0-0,0-0,2-2,0-0,0-0,31,100,2-2,3-3,9
5,2020-12-05,@,Arizona State,W (25-18),0-0,0-0,0-0,1-1,0-0,44,100,1-1,2-2,5
6,2020-12-12,,Southern California,L (38-43),0-0,0-0,0-0,1-1,0-0,43,100,1-1,5-5,8
7,2020-12-19,,Stanford,L (47-48),0-0,0-0,2-3,0-0,0-0,31,66.7,2-3,5-5,11
1,2019-08-29,@,Cincinnati,L (14-24),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
2,2019-09-07,,San Diego State,L (14-23),0-0,0-0,0-0,0-1,0-0,0,0,0-1,2-2,2
3,2019-09-14,,Oklahoma,L (14-48),0-0,0-0,0-1,0-0,0-0,0,0,0-1,2-2,2
4,2019-09-21,@,Washington State,W (67-63),0-0,0-0,1-1,0-0,0-0,31,100,1-1,8-8,11
5,2019-09-28,@,Arizona,L (17-20),0-0,0-0,1-2,0-0,0-0,37,50,1-2,2-2,5
6,2019-10-05,,Oregon State,L (31-48),0-0,0-0,1-1,0-0,0-0,37,100,1-1,4-4,7
7,2019-10-17,@,Stanford,W (34-16),0-0,0-0,0-0,2-2,0-0,49,100,2-2,4-4,10
8,2019-10-26,,Arizona State,W (42-32),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-6,6
9,2019-11-02,,Colorado,W (31-14),0-0,1-1,0-0,0-0,0-1,28,50,1-2,4-4,7
10,2019-11-16,@,Utah,L (3-49),0-0,0-0,0-0,1-2,0-0,43,50,1-2,0-0,3
11,2019-11-23,@,Southern California,L (35-52),0-0,0-0,0-0,0-0,0-1,0,0,0-1,5-5,5
12,2019-11-30,,California,L (18-28),0-0,0-0,1-1,0-0,0-0,31,100,1-1,1-1,4
1,2018-09-01,,Cincinnati,L (17-26),0-0,0-0,0-0,1-1,0-0,47,100,1-1,2-2,5
2,2018-09-08,@,Oklahoma,L (21-49),0-0,0-0,0-0,0-0,0-0,0,0,0-0,3-3,3
3,2018-09-15,,Fresno State,L (14-38),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
4,2018-09-28,@,Colorado,L (16-38),0-0,1-1,0-0,1-1,1-1,50,100,3-3,1-1,10
5,2018-10-06,,Washington,L (24-31),0-0,0-0,0-0,1-2,0-0,49,50,1-2,3-3,6
6,2018-10-13,@,California,W (37-7),0-0,2-2,0-0,1-1,0-0,42,100,3-3,4-4,13
7,2018-10-20,,Arizona,W (31-30),0-0,0-0,0-0,1-1,0-0,40,100,1-1,4-4,7
8,2018-10-26,,Utah,L (10-41),0-0,1-1,0-0,0-0,0-1,27,50,1-2,1-1,4
9,2018-11-03,@,Oregon,L (21-42),0-0,0-0,0-0,0-0,0-1,0,0,0-1,3-3,3
10,2018-11-10,@,Arizona State,L (28-31),0-0,0-0,0-0,0-1,0-0,0,0,0-1,4-4,4
11,2018-11-17,,Southern California,W (34-27),1-1,0-0,0-0,1-1,0-0,48,100,2-2,4-4,10
12,2018-11-24,,Stanford,L (42-49),0-0,0-0,2-2,0-0,0-1,38,66.7,2-3,4-4,10
1,2017-09-03,,Texas A&M,W (45-44),0-0,1-1,0-0,0-0,0-0,29,100,1-1,6-6,9
2,2017-09-09,,Hawaii,W (56-23),0-0,0-0,0-0,0-0,0-0,0,0,0-0,8-8,8
3,2017-09-16,@,Memphis,L (45-48),0-0,0-0,1-1,0-0,0-0,33,100,1-1,6-6,9
4,2017-09-23,@,Stanford,L (34-58),0-0,1-2,0-0,1-1,0-0,45,66.7,2-3,4-4,10
5,2017-09-30,,Colorado,W (27-23),0-0,0-0,2-2,0-0,0-0,33,100,2-2,3-3,9
6,2017-10-14,@,Arizona,L (30-47),0-0,0-0,0-0,0-1,0-0,0,0,0-1,2-2,2
7,2017-10-21,,Oregon,W (31-14),0-0,0-0,0-0,1-1,0-0,42,100,1-1,4-4,7
8,2017-10-28,@,Washington,L (23-44),0-0,0-0,0-0,1-1,0-0,42,100,1-1,2-3,5
9,2017-11-03,@,Utah,L (17-48),0-0,0-0,1-1,0-0,0-0,37,100,1-1,2-2,5
10,2017-11-11,,Arizona State,W (44-37),0-0,1-1,2-3,0-0,0-0,38,75,3-4,5-5,14
11,2017-11-18,@,Southern California,L (23-28),0-0,1-1,0-0,0-1,0-0,26,50,1-2,2-2,5
12,2017-11-24,,California,W (30-27),0-0,2-2,1-1,0-0,0-0,37,100,3-3,3-3,12
13,2017-12-26,,Kansas State*,L (17-35),0-0,0-0,0-0,1-1,0-0,44,100,1-1,2-2,5
1,2016-09-03,@,Texas A&M,L (24-31),0-0,2-2,1-1,0-1,0-0,38,75,3-4,1-1,10
2,2016-09-10,,Nevada-Las Vegas,W (42-21),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
3,2016-09-17,@,Brigham Young,W (17-14),0-0,1-1,0-1,0-0,0-0,24,50,1-2,2-2,5
4,2016-09-24,,Stanford,L (13-22),0-0,1-1,1-1,0-0,0-0,35,100,2-2,1-1,7
5,2016-10-01,,Arizona,W (45-24),0-0,0-0,1-2,0-0,0-0,39,50,1-2,6-6,9
6,2016-10-08,@,Arizona State,L (20-23),1-1,0-0,1-1,0-2,0-0,38,50,2-4,2-2,8
7,2016-10-15,@,Washington State,L (21-27),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
8,2016-10-22,,Utah,L (45-52),0-0,0-0,1-1,0-0,0-0,39,100,1-1,6-6,9
9,2016-11-03,@,Colorado,L (10-20),0-0,0-1,0-1,1-2,0-0,48,33.3,1-3,0-0,3
10,2016-11-12,,Oregon State,W (38-24),0-0,0-0,0-0,1-1,0-0,49,100,1-1,5-5,8
11,2016-11-19,,Southern California,L (14-36),0-0,0-0,0-0,0-1,0-0,0,0,0-1,2-2,2
12,2016-11-26,@,California,L (10-36),0-0,1-1,0-0,0-0,0-0,28,100,1-1,1-1,4
1,2015-09-05,,Virginia,W (34-16),0-0,2-2,0-0,0-0,0-1,26,66.7,2-3,4-4,10
2,2015-09-12,@,Nevada-Las Vegas,W (37-3),0-0,0-0,2-2,1-1,0-0,42,100,3-3,4-4,13
3,2015-09-19,,Brigham Young,W (24-23),0-0,0-0,1-1,0-0,0-0,35,100,1-1,3-3,6
4,2015-09-26,@,Arizona,W (56-30),0-0,0-0,0-0,0-0,0-0,0,0,0-0,8-8,8
5,2015-10-03,,Arizona State,L (23-38),0-0,0-0,0-0,0-0,1-1,53,100,1-1,2-2,5
6,2015-10-15,@,Stanford,L (35-56),0-0,0-0,2-2,0-0,0-0,36,100,2-2,3-3,9
7,2015-10-22,,California,W (40-24),0-0,2-2,0-0,1-1,1-1,60,100,4-4,4-4,16
8,2015-10-31,,Colorado,W (35-31),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
9,2015-11-07,@,Oregon State,W (41-0),0-0,1-1,1-1,0-0,0-0,38,100,2-2,5-5,11
10,2015-11-14,,Washington State,L (27-31),0-0,2-2,2-2,0-0,0-0,38,100,4-4,1-1,13
11,2015-11-21,@,Utah,W (17-9),0-0,0-0,1-1,0-1,0-0,33,50,1-2,2-2,5
12,2015-11-28,@,Southern California,L (21-40),0-0,0-0,0-0,0-1,0-0,0,0,0-1,3-3,3
13,2015-12-26,N,Nebraska*,L (29-37),0-0,0-0,0-0,0-1,0-0,0,0,0-1,3-3,3
1,2014-08-30,@,Virginia,W (28-20),0-0,0-0,0-0,0-1,0-0,0,0,0-1,4-4,4
2,2014-09-06,,Memphis,W (42-35),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-5,4
3,2014-09-13,N,Texas,W (20-17),0-0,1-1,0-0,1-1,0-0,47,100,2-2,2-2,8
4,2014-09-25,@,Arizona State,W (62-27),0-0,1-1,1-1,0-0,0-0,36,100,2-2,8-8,14
5,2014-10-04,,Utah,L (28-30),0-0,0-0,0-0,0-0,0-1,0,0,0-1,4-4,4
6,2014-10-11,,Oregon,L (30-42),0-0,1-1,0-0,0-1,0-0,20,50,1-2,1-1,4
7,2014-10-18,@,California,W (36-34),0-0,2-2,1-1,0-0,0-0,37,100,3-3,3-3,12
8,2014-10-25,@,Colorado,W (40-37),0-0,1-1,1-1,0-0,0-0,31,100,2-2,4-4,10
9,2014-11-01,,Arizona,W (17-7),0-0,1-1,0-1,0-0,0-0,24,50,1-2,2-2,5
10,2014-11-08,@,Washington,W (44-30),0-0,0-0,2-2,1-1,0-0,46,100,3-3,5-5,14
11,2014-11-22,,Southern California,W (38-20),0-0,0-0,1-1,0-0,0-0,32,100,1-1,5-5,8
12,2014-11-28,,Stanford,L (10-31),0-0,0-0,0-0,1-1,0-0,42,100,1-1,1-1,4
13,2015-01-02,N,Kansas State*,W (40-35),0-0,1-1,0-0,1-1,0-0,44,100,2-2,4-4,10
1,2013-08-31,,Nevada,W (58-20),0-0,0-0,0-0,1-2,0-0,40,50,1-2,7-7,10
2,2013-09-14,@,Nebraska,W (41-21),0-0,1-1,0-0,1-2,0-1,44,50,2-4,5-5,11
3,2013-09-21,,New Mexico State,W (59-13),0-0,0-0,1-1,0-0,0-0,38,100,1-1,8-8,11
4,2013-10-03,@,Utah,W (34-27),0-0,0-0,1-1,1-1,0-0,47,100,2-2,4-4,10
5,2013-10-12,,California,W (37-10),0-0,3-3,0-0,0-0,0-0,27,100,3-3,4-4,13
6,2013-10-19,@,Stanford,L (10-24),0-0,0-0,1-1,0-0,0-0,38,100,1-1,1-1,4
7,2013-10-26,@,Oregon,L (14-42),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
8,2013-11-02,,Colorado,W (45-23),0-0,0-0,0-0,1-2,0-0,45,50,1-2,6-6,9
9,2013-11-09,@,Arizona,W (31-26),0-0,0-0,1-1,0-0,0-0,34,100,1-1,4-4,7
10,2013-11-15,,Washington,W (41-31),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-6,5
11,2013-11-23,,Arizona State,L (33-38),0-0,1-1,0-2,1-1,0-0,48,50,2-4,3-3,9
12,2013-11-30,@,Southern California,W (35-14),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
13,2013-12-31,N,Virginia Tech*,W (42-12),0-0,0-0,0-1,0-0,0-0,0,0,0-1,6-6,6